"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner"
283 1 1 4 1 43 1 1
283 2 2 4 1 40 2 1
283 3 1 4 1 10 3 1
283 4 2 4 1 8 3 1
284 1 1 1 1 70 1 1
284 2 2 1 1 64 2 1
285 1 2 1 1 54 1 1
285 2 1 1 1 19 3 1
286 1 1 1 1 61 1 1
286 2 2 1 1 58 2 1
286 3 2 1 1 29 3 1
286 4 1 1 1 2 9 1
287 1 2 1 1 58 1 1
287 2 2 1 1 56 7 1
288 1 2 1 1 44 1 2
288 2 2 1 1 19 3 2
289 1 2 1 1 55 1 1
289 2 1 1 1 57 2 1
290 1 1 1 1 57 1 1
290 2 2 1 1 17 3 1
291 1 1 1 1 65 1 1
291 2 2 1 1 61 2 1
292 1 2 1 1 60 1 1
292 2 1 1 1 59 2 1
293 1 1 1 1 66 1 1
293 2 2 1 1 64 2 1
294 1 1 1 1 69 1 1
294 2 2 1 1 69 2 1
